"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2026-01-03,"02:00:00","X8","TN",8.1
2026-01-03,NA,"X8","HRM",75
2026-01-03,"23:38:00","X8","HRX",100
2026-01-03,"05:35:00","X8","HRN",51
2026-01-03,NA,"X8","PM",997.8
2026-01-03,"10:00:00","X8","PX",999.6
2026-01-03,"16:56:00","X8","PN",996.8
2026-01-03,NA,"X8","PPT",0.8
2026-01-03,NA,"X8","RS24h",3.7
2026-01-03,NA,"X8","VVM10",2
2026-01-03,NA,"X8","DVM10",62
2026-01-03,"11:10:00","X8","VVX10",7.1
2026-01-03,"11:10:00","X8","DVVX10",72
2026-01-04,NA,"D5","TM",5
2026-01-04,"01:00:00","D5","TX",6.2
2026-01-04,"23:59:00","D5","TN",3.3
2026-01-04,NA,"D5","HRM",98
2026-01-04,"23:36:00","D5","HRX",100
2026-01-04,"20:31:00","D5","HRN",82
2026-01-04,NA,"D5","PM",957.6
2026-01-04,"23:28:00","D5","PX",959.2
2026-01-04,"14:30:00","D5","PN",956.4
2026-01-04,NA,"D5","PPT",2.8
2026-01-04,NA,"D5","RS24h",1.4
2026-01-04,NA,"D5","VVM10",2.2
2026-01-04,NA,"D5","DVM10",357
2026-01-04,"23:56:00","D5","VVX10",8
2026-01-04,"23:56:00","D5","DVVX10",325
2026-01-04,NA,"X4","TM",8.4
2026-01-04,"15:30:00","X4","TX",9.6
2026-01-04,"07:30:00","X4","TN",7.3
2026-01-04,NA,"X4","HRM",77
2026-01-04,"00:13:00","X4","HRX",94
2026-01-04,"20:18:00","X4","HRN",62
2026-01-04,NA,"X4","PM",1002.8
2026-01-04,"23:35:00","X4","PX",1004.4
2026-01-04,"14:19:00","X4","PN",1001.4
2026-01-04,NA,"X4","PPT",1.1
2026-01-04,NA,"X4","RS24h",1.6
2026-01-04,NA,"X4","VVM10",1.5
2026-01-04,NA,"X4","DVM10",34
2026-01-04,"02:25:00","X4","VVX10",7.4
2026-01-04,"02:25:00","X4","DVVX10",63
2026-01-04,NA,"X8","TM",7.7
2026-01-04,"15:00:00","X8","TX",9
2026-01-04,"06:47:00","X8","TN",6.2
2026-01-04,NA,"X8","HRM",92
2026-01-04,"18:30:00","X8","HRX",100
2026-01-04,"20:00:00","X8","HRN",70
2026-01-04,NA,"X8","PM",997.1
2026-01-04,"23:06:00","X8","PX",998.8
2026-01-04,"14:18:00","X8","PN",995.5
2026-01-04,NA,"X8","PPT",2
2026-01-04,NA,"X8","RS24h",1.5
2026-01-04,NA,"X8","VVM10",1.4
2026-01-04,NA,"X8","DVM10",343
2026-01-04,"01:09:00","X8","VVX10",5.7
2026-01-04,"01:09:00","X8","DVVX10",123
2026-01-05,NA,"D5","TM",1.7
2026-01-05,"01:45:00","D5","TX",3.3
2026-01-05,"09:15:00","D5","TN",0.2
2026-01-05,NA,"D5","HRM",87
2026-01-05,"00:00:00","D5","HRX",100
2026-01-05,"21:06:00","D5","HRN",69
2026-01-05,NA,"D5","PM",959.6
2026-01-05,"23:20:00","D5","PX",960.9
2026-01-05,"04:19:00","D5","PN",958.4
2026-01-05,NA,"D5","PPT",0.8
2026-01-05,NA,"D5","RS24h",2.4
2026-01-05,NA,"D5","VVM10",8.4
2026-01-05,NA,"D5","DVM10",321
2026-01-05,"10:22:00","D5","VVX10",13.3
2026-01-05,"10:22:00","D5","DVVX10",333
2026-01-05,NA,"X4","TM",6.3
2026-01-05,"00:33:00","X4","TX",7.6
2026-01-05,"09:00:00","X4","TN",5.5
2026-01-05,NA,"X4","HRM",66
2026-01-05,"02:30:00","X4","HRX",82
2026-01-05,"22:33:00","X4","HRN",57
2026-01-05,NA,"X4","PM",1005
2026-01-05,"23:19:00","X4","PX",1006.4
2026-01-05,"03:35:00","X4","PN",1003.9
2026-01-05,NA,"X4","PPT",0.4
2026-01-05,NA,"X4","RS24h",2.5
2026-01-05,NA,"X4","VVM10",2
2026-01-05,NA,"X4","DVM10",308
2026-01-05,"03:44:00","X4","VVX10",7.4
2026-01-05,"03:44:00","X4","DVVX10",299
2026-01-05,NA,"X8","TM",4.8
2026-01-05,"12:09:00","X8","TX",6.7
2026-01-05,"09:05:00","X8","TN",3.6
2026-01-05,NA,"X8","HRM",74
2026-01-05,"02:08:00","X8","HRX",98
2026-01-05,"21:00:00","X8","HRN",60
2026-01-05,NA,"X8","PM",999.3
2026-01-05,"23:17:00","X8","PX",1000.7
2026-01-05,"04:33:00","X8","PN",998.1
2026-01-05,NA,"X8","PPT",1
2026-01-05,NA,"X8","RS24h",2.5
2026-01-05,NA,"X8","VVM10",3.8
2026-01-05,NA,"X8","DVM10",306
2026-01-05,"09:28:00","X8","VVX10",9.1
2026-01-05,"09:28:00","X8","DVVX10",313
2026-01-06,NA,"D5","TM",2.8
2026-01-06,"13:11:00","D5","TX",7.7
2026-01-06,"06:18:00","D5","TN",-0.8
2026-01-06,NA,"D5","HRM",57
2026-01-06,"04:00:00","D5","HRX",81
2026-01-06,"21:46:00","D5","HRN",30
2026-01-06,NA,"D5","PM",962.6
2026-01-06,"22:53:00","D5","PX",966.9
2026-01-06,"04:28:00","D5","PN",959.9
2026-01-06,NA,"D5","PPT",0
2026-01-06,NA,"D5","RS24h",9.5
2026-01-06,NA,"D5","VVM10",8.6
2026-01-06,NA,"D5","DVM10",328
2026-01-06,"03:53:00","D5","VVX10",15.5
2026-01-06,"03:53:00","D5","DVVX10",317
2026-01-06,NA,"X4","TM",6.3
2026-01-06,"13:22:00","X4","TX",10.6
2026-01-06,"04:42:00","X4","TN",3.2
2026-01-06,NA,"X4","HRM",48
2026-01-06,"03:30:00","X4","HRX",68
2026-01-06,"13:11:00","X4","HRN",28
2026-01-06,NA,"X4","PM",1008.2
2026-01-06,"23:14:00","X4","PX",1012.1
2026-01-06,"00:22:00","X4","PN",1005.6
2026-01-06,NA,"X4","PPT",0
2026-01-06,NA,"X4","RS24h",9.6
2026-01-06,NA,"X4","VVM10",1.8
2026-01-06,NA,"X4","DVM10",294
2026-01-06,"23:27:00","X4","VVX10",8.4
2026-01-06,"23:27:00","X4","DVVX10",326
2026-01-06,NA,"X8","TM",5
2026-01-06,"13:11:00","X8","TX",9.4
2026-01-06,"03:20:00","X8","TN",1.7
2026-01-06,NA,"X8","HRM",54
2026-01-06,"02:22:00","X8","HRX",79
2026-01-06,"22:03:00","X8","HRN",30
2026-01-06,NA,"X8","PM",1002.5
2026-01-06,"22:55:00","X8","PX",1006.8
2026-01-06,"04:21:00","X8","PN",999.7
2026-01-06,NA,"X8","PPT",0
2026-01-06,NA,"X8","RS24h",9.5
2026-01-06,NA,"X8","VVM10",3.5
2026-01-06,NA,"X8","DVM10",305
2026-01-06,"18:29:00","X8","VVX10",11.4
2026-01-06,"18:29:00","X8","DVVX10",323
2026-01-07,NA,"D5","TM",2.2
2026-01-07,"14:27:00","D5","TX",7.4
2026-01-07,"05:47:00","D5","TN",-1.9
2026-01-07,NA,"D5","HRM",58
2026-01-07,"23:56:00","D5","HRX",77
2026-01-07,"14:14:00","D5","HRN",39
2026-01-07,NA,"D5","PM",967.6
2026-01-07,"23:01:00","D5","PX",970.9
2026-01-07,"03:23:00","D5","PN",965.4
2026-01-07,NA,"D5","PPT",0
2026-01-07,NA,"D5","RS24h",9.7
2026-01-07,NA,"D5","VVM10",7.2
2026-01-07,NA,"D5","DVM10",323
2026-01-07,"21:20:00","D5","VVX10",16.5
2026-01-07,"21:20:00","D5","DVVX10",211
2026-01-07,NA,"X4","TM",6.3
2026-01-07,"14:32:00","X4","TX",9.1
2026-01-07,"05:47:00","X4","TN",2.5
2026-01-07,NA,"X4","HRM",45
2026-01-07,"23:52:00","X4","HRX",61
2026-01-07,"12:20:00","X4","HRN",29
2026-01-07,NA,"X4","PM",1013.8
2026-01-07,"23:21:00","X4","PX",1016.9
2026-01-07,"01:23:00","X4","PN",1011.6
2026-01-07,NA,"X4","PPT",0
2026-01-07,NA,"X4","RS24h",9.6
2026-01-07,NA,"X4","VVM10",2.4
2026-01-07,NA,"X4","DVM10",315
2026-01-07,"05:48:00","X4","VVX10",9.8
2026-01-07,"05:48:00","X4","DVVX10",339
2026-01-07,NA,"X8","TM",5.2
2026-01-07,"14:39:00","X8","TX",8.4
2026-01-07,"06:16:00","X8","TN",1.6
2026-01-07,NA,"X8","HRM",50
2026-01-07,"23:53:00","X8","HRX",66
2026-01-07,"12:48:00","X8","HRN",32
2026-01-07,NA,"X8","PM",1008
2026-01-07,"23:20:00","X8","PX",1011.2
2026-01-07,"00:37:00","X8","PN",1005.9
2026-01-07,NA,"X8","PPT",0
2026-01-07,NA,"X8","RS24h",9.5
2026-01-07,NA,"X8","VVM10",4
2026-01-07,NA,"X8","DVM10",309
2026-01-07,"03:39:00","X8","VVX10",12.3
2026-01-07,"03:39:00","X8","DVVX10",311
2026-01-08,NA,"D5","TM",7.9
2026-01-08,"15:22:00","D5","TX",12.5
2026-01-08,"04:00:00","D5","TN",3.8
2026-01-08,NA,"D5","HRM",71
2026-01-08,"08:11:00","D5","HRX",83
2026-01-08,"19:52:00","D5","HRN",60
